company,category,phone,email,website,address
Elgin Nursing and Rehabilitation Center,Nursing Homes / Assisted Living / Memory Care,(512) 285-2457,https://business.bastropchamber.com/list/Contact/Lm2KYN5r,https://www.wellsentialhealth.org/,"1373 N. Ave. C , Elgin , TX 78621"
Darling Ingredients Inc.,Manufacturing / Industrial Rendering Company,(512) 303-2571,https://business.bastropchamber.com/list/Contact/rZDW67VP,http://www.darpro.com/,"264 FM 2336 , Bastrop , TX 78602"
St. David's Emergency Center Bastrop,Hospitals Emergency Centers,(512) 308-5900,https://business.bastropchamber.com/list/Contact/r4KGDOxL,http://www.stdavids.com/,"901 West Ben White , Austin , TX 78704"
Bastrop Lost Pines Nursing and Rehabilitation Center,Nursing Homes / Assisted Living / Memory Care,(512) 321-3527,https://business.bastropchamber.com/list/Contact/pllG43yp,https://www.wellsentialhealth.org/location/bastrop-lost-pines-nursing-and-rehabilitation-center/,
Frontier Bank,Banks Financial Services Loan Companies,(512) 303-6000,https://business.bastropchamber.com/list/Contact/pVnwGVYp,http://www.frontierbankoftexas.bank/,
Frontier Bank (Executive Offices),Banks,(512) 303-6009,https://business.bastropchamber.com/list/Contact/pBozbGvP,http://www.frontierbankoftexas.bank/,"921 Main St. , Bastrop , TX 78602"
Roscoe Bank,Banks,(512) 303-1800,https://business.bastropchamber.com/list/Contact/LqBx3QMr,https://www.rsb.bank/,"710 Hwy 71 W , Bastrop , TX 78602"
Ascension Seton Smithville,Hospitals,(512) 237-3214,,https://healthcare.ascension.org/locations/texas/txaus/smithville-ascension-seton-smithville,"1201 Hill Rd. , Smithville , TX 78957"
EdgeConneX,Data Centers Economic Development Utilities,(866) 304-3217,,http://www.edgeconnex.com/,
Silver Pines Nursing and Rehabilitation Center,Nursing Homes / Assisted Living / Memory Care,(512) 321-6220,https://business.bastropchamber.com/list/Contact/p5Z3bOxP,https://www.wellsentialhealth.org/locations/silver-pines,
Windsor Nursing and Rehabilitation Center of Bastrop,Nursing Homes / Assisted Living / Memory Care,(512) 321-2529,https://business.bastropchamber.com/list/Contact/pBoQwOXP,https://www.wellsentialhealth.org/locations/windsor-nursing-and-rehabilitation-center-of-bastrop,"400 Old Austin Hwy , Bastrop , TX 78602"
"TCS Mechanical, LLC",Plumbing Services Welding & Repair Construction Management,(512) 549-3922,https://business.bastropchamber.com/list/Contact/PYWAkamr,http://www.tcsmech.com/,
Ascension Seton Physical Therapy & Fitness Center,Physical Therapy / Rehabilitation,(512) 304-0331,https://business.bastropchamber.com/list/Contact/PoMk06Er,https://healthcare.ascension.org/Locations/Texas/TXAUS/Bastrop-Ascension-Seton-Physical-Therapy-And-Fitness-Center,
Frontier Bank (Smithville location),Banks,(737) 284-7976,https://business.bastropchamber.com/list/Contact/LvVRGE0L,,"107 NW Loop 230 , Smithville , TX 78957"
Towers Nursing Home,Nursing Homes / Assisted Living / Memory Care,(512) 308-8932,,https://www.wellsentialhealth.org/,"372 Hill Rd. , Smithville , TX 78957"
Ascension Seton Bastrop,Emergency Centers Hospitals,(737) 881-7400,https://business.bastropchamber.com/list/Contact/Pe17eNbP,https://healthcare.ascension.org/Locations/Texas/TXAUS/Bastrop-Ascension-Seton-Bastrop,"630 Hwy 71, Ste. 400 , Bastrop , TX 78602"
SpaceX,Manufacturing / Industrial,(310) 363-6000,https://business.bastropchamber.com/list/Contact/P7Vk7Z4p,https://www.spacex.com/,
Wellsential Health,Health / Wellness,(361) 827-5556,https://business.bastropchamber.com/list/Contact/Ly0aAQEP,https://www.wellsentialhealth.org/,
St. David's South Austin Medical Center,Hospitals,(512) 816-6083,,https://stdavids.com/,"901 West Ben White Blvd. , Austin , TX 78704"
Kragh's Jewelry Retail and Repair,Retail / Specialty shops / Antiques Gold / Silver Jewelry / Repair,(512) 321-2351,https://business.bastropchamber.com/list/Contact/rDbZE0oP,http://www.kraghsjewelry.com/,"485 Hwy 71 W , Bastrop , TX 78602"
Hunt Communities / The Colony,Real Estate Development,(214) 727-8383,https://business.bastropchamber.com/list/Contact/r6ZNKeKr,http://www.colonytx.com/,
Republic Services,Waste / Management,(512) 359-1005,https://business.bastropchamber.com/list/Contact/LEnVAGGr,http://www.republicservices.com/,
First National Bank of Bastrop,Banks,(512) 321-2561,https://business.bastropchamber.com/list/Contact/P3J0VgMp,http://www.fnbbastrop.bank/,
"Ringel & Brymer, PLLC",Attorneys / Lawyers,(512) 409-3342,https://business.bastropchamber.com/list/Contact/LbRDg0wL,https://ringelbrymerlaw.com/,"715 Chestnut St. , Bastrop , TX 78602"
Lori Tuggle State Farm Agency,Insurance Services,(512) 581-3939,https://business.bastropchamber.com/list/Contact/Lw4zvqzr,http://www.lorituggleagency.com/,"815 Hwy 71 W, Ste. D , Bastrop , TX 78602"
"UX Web CO, L.C.",Computer Services / IT /  Web Design,(737) 234-0096,https://business.bastropchamber.com/list/Contact/LWVv3DAP,https://uxweb.co/,
